product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
28596,https://www.misharp.co.kr/product/detail.html?product_no=28596,프레임 실크 필링 머플러,,,14800,,,,4050 여성 일반체형,허리라인보정,데일리,봄;가을;겨울,기본,,블랙;아이보리,4050,데님,"미샵 - 프레임 실크 필링 머플러 (2 color) 프레임 실크 필링 머플러 (2 color) (해외배송 가능상품) ( 건) 프레임 실크 필링 머플러 (2 color) 14,800원 140원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 블랙 옵션선택 상품 목록 상품명 상품수 가격 프레임 실크 필링 머플러 (2",,,,,,,,,,,
27326,https://www.misharp.co.kr/product/detail.html?product_no=27326,보들 스퀘어 실크 스카프,,,23800,,,,4050 여성 일반체형,,데일리,,기본,,브라운,4050,데님,"미샵 - 보들 스퀘어 실크 스카프 (2 color) 보들 스퀘어 실크 스카프 (2 color) (해외배송 가능상품) ( 건) 보들 스퀘어 실크 스카프 (2 color) 23,800원 230원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 파스텔 퍼플 라이트 브라운 옵션선택 상품 목록 상품명 상품수 가격 보들 스퀘어 실크",,,,,,,,,,,
27594,https://www.misharp.co.kr/product/detail.html?product_no=27594,라운드 페미닌 소가죽 벨트,,,28500,,,,4050 여성 일반체형,,페미닌;데일리,,기본,,블랙;아이보리,4050,데님,"미샵 - 라운드 페미닌 소가죽 벨트 (3 color) 라운드 페미닌 소가죽 벨트 (3 color) (해외배송 가능상품) ( 건) 라운드 페미닌 소가죽 벨트 (3 color) 28,500원 280원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 에토프 블랙 옵션선택 상품 목록 상품명 상품수 가격 라운드 페미닌 소가",,,,,,,,,,,
27273,https://www.misharp.co.kr/product/detail.html?product_no=27273,보들 롱 실크 스카프,,,19800,,,,4050 여성 일반체형,,데일리,겨울,롱,,네이비;카키;소라,4050,데님,"미샵 - 보들 롱 실크 스카프 (5 color) 보들 롱 실크 스카프 (5 color) (해외배송 가능상품) ( 건) 보들 롱 실크 스카프 (5 color) 19,800원 190원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 라이트옐로우 연카키 레드 네이비 소라 옵션선택 상품 목록 상품명 상품수 가격 보들 롱 실크 스카",,,,,,,,,,,
28593,https://www.misharp.co.kr/product/detail.html?product_no=28593,미니 러플 도트 크루 삭스,,,4800,,,,4050 여성 일반체형,,데일리,,기본,,블랙;화이트,4050,데님,"미샵 - 미니 러플 도트 크루 삭스 (2 color) 미니 러플 도트 크루 삭스 (2 color) (해외배송 가능상품) ( 건) 미니 러플 도트 크루 삭스 (2 color) 4,800원 40원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 화이트 블랙 옵션선택 상품 목록 상품명 상품수 가격 미니 러플 도트 크루 삭스 (2",,,,,,,,,,,
23740,https://www.misharp.co.kr/product/detail.html?product_no=23740,메쉬 밴딩 메리제인 슈즈,,,44800,,,,4050 여성 일반체형,,데일리,겨울,기본,,블랙;베이지,4050,데님;원피스,【굽 3cm / 대박 착화감】,,,,,,,,,,,
28526,https://www.misharp.co.kr/product/detail.html?product_no=28526,로그 패턴 롬버스 머플러,,,12800,,,,4050 여성 일반체형,허리라인보정,데일리,봄;가을;겨울,기본,,그레이,4050,데님,"미샵 - 로그 패턴 롬버스 머플러 (3 color) 로그 패턴 롬버스 머플러 (3 color) (해외배송 가능상품) ( 건) 로그 패턴 롬버스 머플러 (3 color) 12,800원 120원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 그린 그레이 스틸블루 옵션선택 상품 목록 상품명 상품수 가격 로그 패턴 롬버스 머플러",,,,,,,,,,,
28577,https://www.misharp.co.kr/product/detail.html?product_no=28577,니트 메리제인 플랫슈즈,니트/가디건,니트,48500,,,,4050 여성 일반체형,,페미닌;데일리,,기본,,블랙;베이지,4050,슬랙스;데님;원피스;니트,【속굽 포함 3cm / 쫀쫀 편안한 니트】,,,,,,,,,,,
23474,https://www.misharp.co.kr/product/detail.html?product_no=23474,와이드 캡 모자,,,23800,,,,하체통통,,클래식;데일리,여름,기본,,블랙;베이지,4050,데님,【솔리드 원단으로 재입고】,,,,,,,,,,,
27279,https://www.misharp.co.kr/product/detail.html?product_no=27279,도트 코튼 스카프,,,12800,,,,4050 여성 일반체형,,데일리,,기본,,블랙;화이트,4050,데님,"미샵 - 도트 코튼 스카프 (4 color) 도트 코튼 스카프 (4 color) (해외배송 가능상품) ( 건) 도트 코튼 스카프 (4 color) 12,800원 120원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 화이트 라이트 옐로우 레드 블랙 옵션선택 상품 목록 상품명 상품수 가격 도트 코튼 스카프 (4 color)",,,,,,,,,,,
26119,https://www.misharp.co.kr/product/detail.html?product_no=26119,모던 배색 트윌리,,,12800,,,,4050 여성 일반체형,,데일리,,기본,,아이보리;베이지;핑크;네이비,4050,데님,"미샵 - 모던 배색 트윌리 (4 color) 모던 배색 트윌리 (4 color) (해외배송 가능상품) ( 건) 모던 배색 트윌리 (4 color) 12,800원 120원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 베이지 핑크 네이비 옵션선택 상품 목록 상품명 상품수 가격 모던 배색 트윌리 (4 color) 수",,,,,,,,,,,
28563,https://www.misharp.co.kr/product/detail.html?product_no=28563,로우 블록힐 메리제인 슈즈,,,52800,,,,4050 여성 일반체형,,클래식;데일리;모임룩,겨울,기본,,,4050,데님,【5.5cm 굽의 키높이 효과】,,,,,,,,,,,
24667,https://www.misharp.co.kr/product/detail.html?product_no=24667,데일리 다나 백,,,62800,,,77-77,어깨좁음,,데일리,,기본,,블랙;베이지,4050,데님,소모품많은 출근Bag / (안)공간별 포켓5개,,,,,,,,,,,
28558,https://www.misharp.co.kr/product/detail.html?product_no=28558,벤 골지 프릴 삭스,,,6500,,,,4050 여성 일반체형,,데일리,,기본,,아이보리;브라운,4050,데님,"미샵 - 벤 골지 프릴 삭스 (3 color) 벤 골지 프릴 삭스 (3 color) (해외배송 가능상품) ( 건) 벤 골지 프릴 삭스 (3 color) 6,500원 60원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 브라운 옵션선택 상품 목록 상품명 상품수 가격 벤 골지 프릴 삭스 (3 color) 수량증가 수",,,,,,,,,,,
28549,https://www.misharp.co.kr/product/detail.html?product_no=28549,데이 미니 바게트백,,,50800,,,,4050 여성 일반체형,,데일리,,기본,,블랙;아이보리;베이지;핑크,4050,데님,"미샵 - 데이 미니 바게트백 (5 color) 데이 미니 바게트백 (5 color) (해외배송 가능상품) ( 건) 데이 미니 바게트백 (5 color) 50,800원 500원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 라이트옐로우 인디핑크 연베이지 블랙 옵션선택 상품 목록 상품명 상품수 가격 데이 미니 바게트",,,,,,,,,,,
27382,https://www.misharp.co.kr/product/detail.html?product_no=27382,리본 슬링백 미들 스틸레토 슈즈,,,49800,,,,4050 여성 일반체형,,데일리,,기본,,블랙;베이지,4050,데님,"미샵 - 리본 슬링백 미들 스틸레토 슈즈 (2 color) 리본 슬링백 미들 스틸레토 슈즈 (2 color) (해외배송 가능상품) ( 건) 리본 슬링백 미들 스틸레토 슈즈 (2 color) 49,800원 490원 (1%) 재입고 알림 SMS 상품 옵션 컬러-사이즈 - [필수] 옵션을 선택해 주세요 - ------------------- 크림베이지-230 크림베이지-235 크림베이지-240 크",,,,,,,,,,,
27766,https://www.misharp.co.kr/product/detail.html?product_no=27766,케이 미니멀 원석 목걸이,,,18500,,,,4050 여성 일반체형,,데일리,,기본,,블랙,4050,데님,【사계절 내내】,,,,,,,,,,,
27375,https://www.misharp.co.kr/product/detail.html?product_no=27375,말랑 양가죽 리본 로퍼,,,72500,,,,4050 여성 일반체형,,데일리,겨울,기본,,블랙;브라운,4050,데님,무지외반증 OK / 사계절 내내,,,,,,,,,,,
28530,https://www.misharp.co.kr/product/detail.html?product_no=28530,벨벳 캐시미어 리버시블 롱 머플러,,,15800,,,,4050 여성 일반체형,허리라인보정,클래식;데일리,봄;가을;겨울,롱,,베이지;그레이,4050,데님;니트,벨벳 캐시미어 핸들,,,,,,,,,,,
18420,https://www.misharp.co.kr/product/detail.html?product_no=18420,프리미엄 150D 스타킹,,,13800,,,,4050 여성 일반체형,,데일리,겨울,기본,,블랙,4050,데님,진심 굿 퀄리티!,,,,,,,,,,,
28106,https://www.misharp.co.kr/product/detail.html?product_no=28106,아르테 플로우 실크 스카프,,,24800,,,,4050 여성 일반체형,,데일리,,기본,,,4050,데님,"미샵 - 아르테 플로우 실크 스카프 (1 color) 아르테 플로우 실크 스카프 (1 color) (해외배송 가능상품) ( 건) 아르테 플로우 실크 스카프 (1 color) 24,800원 240원 (1%) 재입고 알림 SMS 상품 옵션 옵션선택 상품 목록 상품명 상품수 가격 아르테 플로우 실크 스카프 (1 color) 수량증가 수량감소 24800 ( 240 ) 옵션 정보 바로구매 예약주문 S",,,,,,,,,,,
28071,https://www.misharp.co.kr/product/detail.html?product_no=28071,2타입 프렌치 프릴 삭스,,,4800,,,,4050 여성 일반체형,,데일리,,롱,,블랙;화이트,4050,데님,"미샵 - 2타입 프렌치 프릴 삭스 (2 color) 2타입 프렌치 프릴 삭스 (2 color) (해외배송 가능상품) ( 건) 2타입 프렌치 프릴 삭스 (2 color) 4,800원 40원 (1%) 재입고 알림 SMS 상품 옵션 타입-컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 미디움-화이트 미디움-블랙 롱-화이트 롱-블랙 옵션선택 상품 목록 상품명 상품수 가",,,,,,,,,,,
27118,https://www.misharp.co.kr/product/detail.html?product_no=27118,프릴 페이크 카라,,,17500,폴리에스터95% 스판5% 혼용 소재입니다 / 스판5% 혼용 소재입니다,,55-77,어깨좁음,허리라인보정,클래식;데일리,봄,기본,,블랙;화이트,4050,데님;원피스;니트,"미샵 - 프릴 페이크 카라 (2 color) 프릴 페이크 카라 (2 color) (해외배송 가능상품) ( 건) 프릴 페이크 카라 (2 color) 17,500원 170원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 화이트 블랙 옵션선택 상품 목록 상품명 상품수 가격 프릴 페이크 카라 (2 color) 수량증가 수량감소",35,,,,,,,,,text,"[{""어깨단면"": ""35""}]"
22380,https://www.misharp.co.kr/product/detail.html?product_no=22380,심플 울실크 스카프,,,29800,,,,4050 여성 일반체형,허리라인보정,데일리,봄;여름;겨울,기본,,블랙;아이보리,4050,데님,"미샵 - 심플 울실크 스카프 (2 color) 심플 울실크 스카프 (2 color) (해외배송 가능상품) ( 건) 심플 울실크 스카프 (2 color) 29,800원 290원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 블랙 옵션선택 상품 목록 상품명 상품수 가격 심플 울실크 스카프 (2 color) 수량증가",,,,,,,,,,,
